DOI,  "DOI_Stub"
10.1002/1521-4125(20021105)25:11<1060::aid-ceat1060>3.0.co;2-7, 10.100215214125200211052511<1060aidceat1060>3.0.co;27
10.1002/adem.200500223, 10.1002adem.200500223
10.1002/adem.201000246, 10.1002adem.201000246
10.1002/adfm.200500561, 10.1002adfm.200500561
10.1002/adfm.200500830, 10.1002adfm.200500830
10.1002/adfm.200600944, 10.1002adfm.200600944
10.1002/adfm.200800058, 10.1002adfm.200800058
10.1002/adfm.201002517, 10.1002adfm.201002517
10.1002/adfm.201101479, 10.1002adfm.201101479
10.1002/adfm.201200084, 10.1002adfm.201200084
10.1002/adfm.201300071, 10.1002adfm.201300071
10.1002/adfm.201300510, 10.1002adfm.201300510
10.1002/adfm.201301178, 10.1002adfm.201301178
10.1002/adfm.201302854, 10.1002adfm.201302854
10.1002/adfm.201400559, 10.1002adfm.201400559
10.1002/adfm.201402972, 10.1002adfm.201402972
10.1002/adfm.201502069, 10.1002adfm.201502069
10.1002/adfm.202002654, 10.1002adfm.202002654
10.1002/adma.200400946, 10.1002adma.200400946
10.1002/adma.200601983, 10.1002adma.200601983
10.1002/adma.200602645, 10.1002adma.200602645
10.1002/adma.200700450, 10.1002adma.200700450
10.1002/adma.200702605, 10.1002adma.200702605
10.1002/adma.200800030, 10.1002adma.200800030
10.1002/adma.200802485, 10.1002adma.200802485
10.1002/adma.200901581, 10.1002adma.200901581
10.1002/adma.200903436, 10.1002adma.200903436
10.1002/adma.201201185, 10.1002adma.201201185
10.1002/adma.201203383, 10.1002adma.201203383
10.1002/adma.201203664, 10.1002adma.201203664
10.1002/adma.201400428, 10.1002adma.201400428
10.1002/adma.201403827, 10.1002adma.201403827
10.1002/adma.201500966, 10.1002adma.201500966
10.1002/adma.201502418, 10.1002adma.201502418
10.1002/adma.201603006, 10.1002adma.201603006
10.1002/adma.201603945, 10.1002adma.201603945
10.1002/adma.201605826, 10.1002adma.201605826
10.1002/adma.201907289, 10.1002adma.201907289
10.1002/adma.202001284, 10.1002adma.202001284
10.1002/adma.202201502, 10.1002adma.202201502
10.1002/adsu.201700092, 10.1002adsu.201700092
10.1002/Advs.201500150, 10.1002advs.201500150
10.1002/aenm.201601189, 10.1002aenm.201601189
10.1002/aenm.202003735, 10.1002aenm.202003735
10.1002/Aic.10040, 10.1002aic.10040
10.1002/Aic.10306, 10.1002aic.10306
10.1002/aic.10687, 10.1002aic.10687
10.1002/Aic.11298, 10.1002aic.11298
10.1002/Aic.11362, 10.1002aic.11362
10.1002/Aic.11865, 10.1002aic.11865
10.1002/aic.12220, 10.1002aic.12220
10.1002/aic.12356, 10.1002aic.12356
10.1002/Aic.12397, 10.1002aic.12397
10.1002/Aic.12744, 10.1002aic.12744
10.1002/Aic.13970, 10.1002aic.13970
10.1002/Aic.14467, 10.1002aic.14467
10.1002/Aic.14525, 10.1002aic.14525
10.1002/aic.14707, 10.1002aic.14707
10.1002/aic.14842, 10.1002aic.14842
